timestamp,duration,adults,children,infants,startDepartureDate,endDepartureDate,from,rooms,to
2025-11-14T08:17:39.795Z,11,2,1,1,2/19/2026,2/19/2026,Charleroi,0,"Kenya, Costa Rica, New Zealand, Japan, Columbia, Latvia, Kuwait, Australia, Chile, Korea"
2025-11-14T08:17:23.623Z,7,1,,,11/27/2025,11/27/2025,Charleroi,1,"Japan, Columbia, Costa Rica, Kenya, Australia, New Zealand"
2025-11-14T08:17:17.696Z,7,1,,,11/27/2025,11/27/2025,Charleroi,1,"Australia, New Zealand, Kuwait, Japan, Korea, Chile, Kenya, Costa Rica, Latvia, Columbia"
2025-11-14T08:17:11.743Z,7,1,,,1/30/2026,1/30/2026,Liege,0,"Kenya, Costa Rica, Latvia, Columbia, Australia, New Zealand, Kuwait, Japan, Korea, Chile"
2025-11-14T08:17:01.950Z,7,1,1,,1/30/2026,1/30/2026,Liege,0,"Kenya, Costa Rica, Latvia, Columbia, Australia, New Zealand, Kuwait, Japan, Korea, Chile"
2025-11-14T08:16:35.612Z,11,2,,,2/19/2026,2/19/2026,Charleroi,0,"Kenya, Costa Rica, New Zealand, Japan, Columbia, Latvia, Kuwait, Australia"
2025-11-14T08:14:23.540Z,10,2,,,7/25/2026,7/25/2026,,0,"Australia, New Zealand, Kuwait, Japan, Korea, Chile, Kenya, Costa Rica, Latvia, Columbia"
2025-11-14T08:13:11.275Z,7,3,,,12/11/2025,12/11/2025,,2,"Kenya, Costa Rica"
2025-11-14T08:12:59.334Z,10,2,,,7/25/2026,7/25/2026,,1,"Australia, New Zealand, Kuwait, Japan, Korea, Chile, Kenya, Costa Rica, Latvia, Columbia"
2025-11-14T08:11:53.173Z,6,2,,,2/15/2026,2/15/2026,Liege,0,"Australia, Kuwait, Costa Rica, New Zealand, Korea, Kenya, Columbia, Chile, Latvia, Japan"
