filterId,filterName,optionId,optionName
F1,Accessibility,O1,Accessibility
F2,Boards,O2,24-hour All Inclusive
F2,Boards,O3,All Inclusive
F2,Boards,O4,As Brochured
F2,Boards,O5,As per Itinerary
F2,Boards,O6,Bed & Breakfast
F2,Boards,O7,Catered Chalet
F2,Boards,O8,Full Board
F2,Boards,O9,Full Board Plus
F2,Boards,O10,Gourmet Inclusive
F2,Boards,O11,Half Board
F2,Boards,O12,Half Board Plus
F2,Boards,O13,Premium All Inclusive
F2,Boards,O14,Room Only
F2,Boards,O15,Self Catering
F2,Boards,O16,Self Catering Plus
F2,Boards,O17,Ultra Inclusive
F3,Customer Rating,O18,1 and over
F3,Customer Rating,O19,2 and over
F3,Customer Rating,O20,3 and over
F3,Customer Rating,O21,4 and over
F3,Customer Rating,O22,5 and over
F4,Destination,O23,A Coruna
F4,Destination,O24,Abu Dhabi
F4,Destination,O25,Acharavi
F4,Destination,O26,Achensee
F4,Destination,O27,Achladies Bay
F4,Destination,O28,Acireale
F4,Destination,O29,Acoteias
F4,Destination,O30,Afandou
F4,Destination,O31,Afitos
F4,Destination,O32,Africa
F4,Destination,O33,Agadir
F4,Destination,O34,Agadir and Taghazout
F4,Destination,O35,Agaete
F4,Destination,O36,Aghia Marina
F4,Destination,O37,Aghia Paraskevi
F4,Destination,O38,Aghia Pelagia
F4,Destination,O39,Aghios Georgios North
F4,Destination,O40,Aghios Georgios South
F4,Destination,O41,Aghios Gordios
F4,Destination,O42,Aghios Ioannis
F4,Destination,O43,Aghios Ioannis (Corfu)
F4,Destination,O44,Aghios Nikolaos
F4,Destination,O45,Aghios Sostis
F4,Destination,O46,Agia Efimia
F4,Destination,O47,Agia Varvara
F4,Destination,O48,Agioi Apostoloi
F4,Destination,O49,Agios Dimitrios
F4,Destination,O50,Agios Fokas
F4,Destination,O51,Agios Ioannis
F4,Destination,O52,Agios Ioannis Peristeron
F4,Destination,O53,Agios Stefanos
F4,Destination,O54,Agkisaras
F4,Destination,O55,Agua Amarga
F4,Destination,O56,Aguadulce
F4,Destination,O57,Ahungalla
F4,Destination,O58,Aix-en-Provence
F4,Destination,O59,Ajaccio
F4,Destination,O60,Ajman
F4,Destination,O61,Akbuk
F4,Destination,O62,Akrotiri
F4,Destination,O63,Akumal
F4,Destination,O64,Akyarlar
F4,Destination,O65,Alacati
F4,Destination,O66,Alaminos
F4,Destination,O67,Alanya
F4,Destination,O68,Alaro
F4,Destination,O69,Albania
F4,Destination,O70,Albir
F4,Destination,O71,Albufeira
F4,Destination,O72,Alcamo
F4,Destination,O73,Alcantarilha
F4,Destination,O74,Alcudia
F4,Destination,O75,Algeciras
F4,Destination,O76,Alghero
F4,Destination,O77,Alghero Area
F4,Destination,O78,Alicante
F4,Destination,O79,Aljezur
F4,Destination,O80,Almancil
F4,Destination,O81,Almeria
F4,Destination,O82,Almerimar
F4,Destination,O83,Almyrida
F4,Destination,O84,Alonissos
F4,Destination,O85,Alpbach
F4,Destination,O86,Alpe dHuez
F4,Destination,O87,Alte
F4,Destination,O88,Altea
F4,Destination,O89,Altinkum
F4,Destination,O90,Alvor
F4,Destination,O91,Alykanas
F4,Destination,O92,Alykes
F4,Destination,O93,Alykes Potamos
F4,Destination,O94,Amadores
F4,Destination,O95,Amalfi
F4,Destination,O96,Amalfi Coast
F4,Destination,O97,Amathus Bay
F4,Destination,O98,Amoudara
F4,Destination,O99,Amoudi
F4,Destination,O100,Amsterdam
F4,Destination,O101,Analipsi
