﻿filterId,filterName,optionName,optionId,ID
ACCESSIBILITY,Accessibility,Accessibility,accessibilityInfo,1
BOARDBASIS,Boards,Gourmet Inclusive,AIG,2
BOARDBASIS,Boards,Ultra Inclusive,AIU,3
BOARDBASIS,Boards,Half Board,HB,4
BOARDBASIS,Boards,Self Catering,SC,5
BOARDBASIS,Boards,Room Only,RO,6
BOARDBASIS,Boards,24-hour All Inclusive,A24,7
BOARDBASIS,Boards,All Inclusive Plus,AI+,8
BOARDBASIS,Boards,Full Board,FB,9
BOARDBASIS,Boards,Bed & Breakfast,BB,10
BOARDBASIS,Boards,Self-catering Plus,SC+,11
BOARDBASIS,Boards,Half Board Plus,HB+,12
BOARDBASIS,Boards,Full Board Plus,FB+,13
BOARDBASIS,Boards,All Inclusive,AI,14
BOARDBASIS,Boards,Premium All Inclusive,PI,15
BOARDBASIS,Boards,As per Itinerary,IT,16
BOARDBASIS,Boards,As Brochured,AB,17
BOARDBASIS,Boards,Catered Chalet,SCC,18
DESTINATIONS,Destination,Africa,AAA,19
DESTINATIONS,Destination,Cape Verde,CPV,20
DESTINATIONS,Destination,Boa Vista,'004235',21
DESTINATIONS,Destination,Sal,'003838',22
DESTINATIONS,Destination,Mindelo,L38041,23
DESTINATIONS,Destination,Praia,L58162,24
DESTINATIONS,Destination,Egypt,EGY,25
DESTINATIONS,Destination,Aswan,'000847',26
DESTINATIONS,Destination,Cairo,'000849',27
DESTINATIONS,Destination,Edfu,L65205,28
DESTINATIONS,Destination,El Gouna,'001690',29
DESTINATIONS,Destination,Hurghada,'000851',30
DESTINATIONS,Destination,Hurghada North,L70984,31
DESTINATIONS,Destination,Hurghada South,L70989,32
DESTINATIONS,Destination,Kom Ombo,L65204,33
DESTINATIONS,Destination,Luxor,'000852',34
DESTINATIONS,Destination,Marsa Alam,'003406',35
DESTINATIONS,Destination,Sharm El Sheikh,'001544',36
DESTINATIONS,Destination,Gambia,GMB,37
DESTINATIONS,Destination,Kenya,KEN,38
DESTINATIONS,Destination,Bamburi,'002341',39
DESTINATIONS,Destination,Diani Beach,'001283',40
DESTINATIONS,Destination,Galu Beach,'002679',41
DESTINATIONS,Destination,Kilifi,'000536',42
DESTINATIONS,Destination,Malindi,'000537',43
DESTINATIONS,Destination,Mombasa,'000133',44
DESTINATIONS,Destination,Mauritius,MUS,45
DESTINATIONS,Destination,Anse La Raie,'008088',46
DESTINATIONS,Destination,Bain Boeuf,L59624,47
DESTINATIONS,Destination,Balaclava,'008406',48
DESTINATIONS,Destination,Bel Ombre,'008092',49
DESTINATIONS,Destination,Belle Mare,'002321',50
DESTINATIONS,Destination,Blue Bay,'003895',51
DESTINATIONS,Destination,Calodyne,'008094',52
DESTINATIONS,Destination,Flic en Flac,'002087',53
DESTINATIONS,Destination,Grand Baie,'002083',54
DESTINATIONS,Destination,Grand Gaube,'004444',55
DESTINATIONS,Destination,Haute Rive,L57363,56
DESTINATIONS,Destination,Le Morne,'002081',57
DESTINATIONS,Destination,Mahebourg,L59002,58
DESTINATIONS,Destination,Mont Choisy,'002084',59
DESTINATIONS,Destination,North Mauritius,'004227',60
DESTINATIONS,Destination,Pointe aux Piments,'002322',61
DESTINATIONS,Destination,Port Louis,'002082',62
DESTINATIONS,Destination,Poste Lafayette,L57362,63
DESTINATIONS,Destination,Quatre Bornes,L64322,64
DESTINATIONS,Destination,South Mauritius,'004228',65
DESTINATIONS,Destination,St Felix,L64282,66
DESTINATIONS,Destination,Tamarin,L63702,67
DESTINATIONS,Destination,Trou aux Biches,'008466',68
DESTINATIONS,Destination,Trou dEau Douce,'002086',69
DESTINATIONS,Destination,Morocco,MAR,70
DESTINATIONS,Destination,Agadir and Taghazout,'001005',71
DESTINATIONS,Destination,Casablanca,'002638',72
DESTINATIONS,Destination,Essaouira,'003961',73
DESTINATIONS,Destination,Fez,'002873',74
DESTINATIONS,Destination,Marrakech,'003759',75
DESTINATIONS,Destination,Tangier,'003762',76
DESTINATIONS,Destination,Agadir,'002112',77
DESTINATIONS,Destination,Senegal,L59753,78
DESTINATIONS,Destination,La Somone,L59782,79
DESTINATIONS,Destination,Pointe Sarene,L59502,80
DESTINATIONS,Destination,Saly,'000478',81
DESTINATIONS,Destination,Seychelles,SYC,82
DESTINATIONS,Destination,La Digue,'000490',83
DESTINATIONS,Destination,Mahe Island,'000491',84
DESTINATIONS,Destination,Praslin,'000492',85
DESTINATIONS,Destination,Silhouette Island,'004257',86
DESTINATIONS,Destination,South Africa,ZAF,87
DESTINATIONS,Destination,Cape Town,'001532',88
DESTINATIONS,Destination,Tanzania,TZA,89
DESTINATIONS,Destination,Zanzibar,'000418',90
DESTINATIONS,Destination,Bububu,L63504,91
DESTINATIONS,Destination,Jambiani,L52269,92
DESTINATIONS,Destination,Kiwengwa,L52263,93
DESTINATIONS,Destination,Kizimkazi,L62327,94
DESTINATIONS,Destination,Mangapwani,L72182,95
DESTINATIONS,Destination,Marumbi,L52282,96
DESTINATIONS,Destination,Matemwe,L63008,97
DESTINATIONS,Destination,Michamvi Kae,L72383,98
DESTINATIONS,Destination,Nungwi,L52268,99
DESTINATIONS,Destination,Paje,L63331,100
DESTINATIONS,Destination,Pingwe,L62142,101
DESTINATIONS,Destination,Uroa,L69282,102
DESTINATIONS,Destination,Tunisia,TUN,103
DESTINATIONS,Destination,Djerba Island,'007386',104
DESTINATIONS,Destination,Hammamet,'001216',105
DESTINATIONS,Destination,La Goulette (for Tunis),'002741',106
DESTINATIONS,Destination,Port El Kantaoui,'000432',107
DESTINATIONS,Destination,Skanes,'001132',108
DESTINATIONS,Destination,Sousse,'000433',109
DESTINATIONS,Destination,Yasmine Hammamet,'002344',110
DESTINATIONS,Destination,Asia,BBB,111
DESTINATIONS,Destination,China,CHN,112
DESTINATIONS,Destination,Hong Kong,HKG,113
DESTINATIONS,Destination,India,IND,114
DESTINATIONS,Destination,Goa,'001915',115
DESTINATIONS,Destination,South Goa,L00490,116
DESTINATIONS,Destination,Arossim Beach,'002608',117
DESTINATIONS,Destination,Benaulim,'001948',118
DESTINATIONS,Destination,Betalbatim Beach,'002253',119
DESTINATIONS,Destination,Cavelossim,'002047',120
DESTINATIONS,Destination,Majorda Beach,'002708',121
DESTINATIONS,Destination,Varca Beach,'001952',122
