filterId,filterName,optionName,optionId,ID,synonyms
ACCESSIBILITY,Accessibility,Accessibility,accessibilityInfo,1,accessible room|wheelchair accessible|step-free access|disabled access|mobility accessible|wheelchair friendly|accessible facilities|reduced mobility access|prm friendly|accessibility info
BOARDBASIS,Boards,Gourmet Inclusive,AIG,2,gourmet all inclusive|gourmet inclusive|gourmet ai|all inclusive gourmet|gourmet-inclusive
BOARDBASIS,Boards,Ultra Inclusive,AIU,3,ultra all inclusive|ultra inclusive|ultra ai|ultra-inclusive|ultra all-inclusive
BOARDBASIS,Boards,Half Board,HB,4,half board|hb|breakfast and dinner|breakfast & dinner|2 meals a day
BOARDBASIS,Boards,Self Catering,SC,5,self catering|self-catering|sc|catering facilities|kitchenette|apartment with kitchen
BOARDBASIS,Boards,Room Only,RO,6,room only|ro|accommodation only|no meals included|stay only
BOARDBASIS,Boards,24-hour All Inclusive,A24,7,24 hour all inclusive|24-hour all inclusive|all inclusive 24/7|24/7 all inclusive|all inclusive all day|24hr all inclusive
BOARDBASIS,Boards,All Inclusive Plus,AI+,8,all inclusive plus|ai+|all-inclusive plus|all inclusive +|all inclusive premium
BOARDBASIS,Boards,Full Board,FB,9,"full board|fb|breakfast lunch and dinner|breakfast, lunch & dinner|3 meals a day"
BOARDBASIS,Boards,Bed & Breakfast,BB,10,bed and breakfast|bed & breakfast|b&b|bb|breakfast included|room and breakfast
BOARDBASIS,Boards,Self-catering Plus,SC+,11,self catering plus|self-catering plus|sc+|self catering +
BOARDBASIS,Boards,Half Board Plus,HB+,12,half board plus|half-board plus|hb+|half board +
BOARDBASIS,Boards,Full Board Plus,FB+,13,full board plus|full-board plus|fb+|full board +
BOARDBASIS,Boards,All Inclusive,AI,14,all inclusive|all-inclusive|ai|all inc|all-in
BOARDBASIS,Boards,Premium All Inclusive,PI,15,premium all inclusive|premium all-inclusive|premium ai|all inclusive premium
BOARDBASIS,Boards,As per Itinerary,IT,16,as per itinerary|as per the itinerary|meals as per itinerary|itinerary basis|as per schedule
BOARDBASIS,Boards,As Brochured,AB,17,as brochured|as per brochure|as per the brochure|brochure basis|as advertised
BOARDBASIS,Boards,Catered Chalet,SCC,18,catered chalet|fully catered chalet|chalet catering included|chalet with catering|hosted chalet
DESTINATIONS,Destination,Africa,AAA,19,africa|african holidays|african destinations
DESTINATIONS,Destination,Cape Verde,CPV,20,cape verde|cabo verde|cape verde islands
DESTINATIONS,Destination,Boa Vista,'004235',21,boa vista|boavista|boa vista cape verde
DESTINATIONS,Destination,Sal,'003838',22,sal|sal island|ilha do sal
DESTINATIONS,Destination,Mindelo,L38041,23,mindelo|mindelo cape verde
DESTINATIONS,Destination,Praia,L58162,24,praia|praia cape verde
DESTINATIONS,Destination,Egypt,EGY,25,egypt|holidays in egypt
DESTINATIONS,Destination,Aswan,'000847',26,aswan
DESTINATIONS,Destination,Cairo,'000849',27,cairo
DESTINATIONS,Destination,Edfu,L65205,28,edfu
DESTINATIONS,Destination,El Gouna,'001690',29,el gouna|elgouna
DESTINATIONS,Destination,Hurghada,'000851',30,hurghada
DESTINATIONS,Destination,Hurghada North,L70984,31,hurghada north|north hurghada
DESTINATIONS,Destination,Hurghada South,L70989,32,hurghada south|south hurghada
DESTINATIONS,Destination,Kom Ombo,L65204,33,kom ombo|komombo
DESTINATIONS,Destination,Luxor,'000852',34,luxor
DESTINATIONS,Destination,Marsa Alam,'003406',35,marsa alam|marsa alam egypt
DESTINATIONS,Destination,Sharm El Sheikh,'001544',36,sharm el sheikh|sharm el-sheikh|sharm el sheik|sharm
DESTINATIONS,Destination,Gambia,GMB,37,gambia|the gambia
DESTINATIONS,Destination,Kenya,KEN,38,kenya
DESTINATIONS,Destination,Bamburi,'002341',39,bamburi|bamburi beach
DESTINATIONS,Destination,Diani Beach,'001283',40,diani beach|diani
DESTINATIONS,Destination,Galu Beach,'002679',41,galu beach|galu
DESTINATIONS,Destination,Kilifi,'000536',42,kilifi
DESTINATIONS,Destination,Malindi,'000537',43,malindi
DESTINATIONS,Destination,Mombasa,'000133',44,mombasa
DESTINATIONS,Destination,Mauritius,MUS,45,mauritius
DESTINATIONS,Destination,Anse La Raie,'008088',46,anse la raie|anse-la-raie
DESTINATIONS,Destination,Bain Boeuf,L59624,47,bain boeuf|bain-bœuf|bain boeuf mauritius
DESTINATIONS,Destination,Balaclava,'008406',48,balaclava mauritius|balaclava
DESTINATIONS,Destination,Bel Ombre,'008092',49,bel ombre|bel-ombre|bel ombre mauritius
DESTINATIONS,Destination,Belle Mare,'002321',50,belle mare|belle-mare
DESTINATIONS,Destination,Blue Bay,'003895',51,blue bay|blue bay mauritius
DESTINATIONS,Destination,Calodyne,'008094',52,calodyne|calodyne mauritius
DESTINATIONS,Destination,Flic en Flac,'002087',53,flic en flac|flic-en-flac|flic en flacq
DESTINATIONS,Destination,Grand Baie,'002083',54,grand baie|grand-baie|grand bay
DESTINATIONS,Destination,Grand Gaube,'004444',55,grand gaube|grand-gaube
DESTINATIONS,Destination,Haute Rive,L57363,56,haute rive|haute-rive
DESTINATIONS,Destination,Le Morne,'002081',57,le morne|le-morne|le morne mauritius
DESTINATIONS,Destination,Mahebourg,L59002,58,mahebourg|mahébourg
DESTINATIONS,Destination,Mont Choisy,'002084',59,mont choisy|mont-choisy
DESTINATIONS,Destination,North Mauritius,'004227',60,north mauritius|northern mauritius
DESTINATIONS,Destination,Pointe aux Piments,'002322',61,pointe aux piments|pointe-aux-piments
DESTINATIONS,Destination,Port Louis,'002082',62,port louis|port-louis
DESTINATIONS,Destination,Poste Lafayette,L57362,63,poste lafayette|poste-lafayette
DESTINATIONS,Destination,Quatre Bornes,L64322,64,quatre bornes|quatre-bornes
DESTINATIONS,Destination,South Mauritius,'004228',65,south mauritius|southern mauritius
DESTINATIONS,Destination,St Felix,L64282,66,st felix mauritius|saint felix mauritius|st felix
DESTINATIONS,Destination,Tamarin,L63702,67,tamarin|tamarin mauritius
DESTINATIONS,Destination,Trou aux Biches,'008466',68,trou aux biches|trou-aux-biches
DESTINATIONS,Destination,Trou dEau Douce,'002086',69,trou d'eau douce|trou deau douce|trou-d'eau-douce
DESTINATIONS,Destination,Morocco,MAR,70,morocco
DESTINATIONS,Destination,Agadir and Taghazout,'001005',71,agadir and taghazout|agadir & taghazout|taghazout and agadir
DESTINATIONS,Destination,Casablanca,'002638',72,casablanca
DESTINATIONS,Destination,Essaouira,'003961',73,essaouira|essouira
DESTINATIONS,Destination,Fez,'002873',74,fez|fes
DESTINATIONS,Destination,Marrakech,'003759',75,marrakech|marrakesh
DESTINATIONS,Destination,Tangier,'003762',76,tangier|tanger
DESTINATIONS,Destination,Agadir,'002112',77,agadir
DESTINATIONS,Destination,Senegal,L59753,78,senegal
DESTINATIONS,Destination,La Somone,L59782,79,la somone|lasomone|la somone senegal
DESTINATIONS,Destination,Pointe Sarene,L59502,80,pointe sarene|pointe-sarene|pointe sarène
DESTINATIONS,Destination,Saly,'000478',81,saly|saly senegal
DESTINATIONS,Destination,Seychelles,SYC,82,seychelles
